City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
248,Cefalu,IT,2020-10-15 18:22:50,38.04,14.02,66.0,66,76,4.0
249,Ruy Barbosa,BR,2020-10-15 18:22:51,-12.28,-40.49,94.8,21,36,4.63
250,Atambua,ID,2020-10-15 18:22:51,-9.11,124.89,74.12,81,97,1.57
251,San Quintin,MX,2020-10-15 18:18:59,30.48,-115.95,83.52,36,19,5.91
252,Longyearbyen,SJ,2020-10-15 18:18:45,78.22,15.64,24.8,92,75,3.4
253,Kavieng,PG,2020-10-15 18:18:56,-2.57,150.8,82.06,75,47,9.37
254,Belyy Yar,RU,2020-10-15 18:22:51,53.6,91.39,50.0,53,100,11.18
255,Aykhal,RU,2020-10-15 18:22:51,66.0,111.5,23.0,100,90,8.95
256,Edd,ER,2020-10-15 18:22:51,13.93,41.69,85.33,64,0,4.97
257,Camopi,GF,2020-10-15 18:22:51,3.17,-52.32,97.7,27,33,6.29
258,Sinnamary,GF,2020-10-15 18:22:52,5.38,-52.95,86.79,58,9,13.51
259,Mae Sai,TH,2020-10-15 18:22:52,20.43,99.88,75.99,88,40,5.82
260,Alice Springs,AU,2020-10-15 18:18:50,-23.7,133.88,75.0,45,0,4.99
261,Paamiut,GL,2020-10-15 18:22:52,61.99,-49.67,41.05,73,100,15.7
262,Codrington,AU,2020-10-15 18:18:33,-38.27,141.97,41.92,83,29,9.73
263,Saint George,US,2020-10-15 18:18:37,37.1,-113.58,75.99,24,1,3.36
264,East London,ZA,2020-10-15 18:18:40,-33.02,27.91,66.2,88,75,14.99
265,Iralaya,HN,2020-10-15 18:22:52,15.0,-83.23,84.99,72,22,7.63
266,Barra Patuca,HN,2020-10-15 18:22:53,15.8,-84.28,85.48,66,7,5.35
267,Muisne,EC,2020-10-15 18:22:53,0.6,-80.03,84.2,74,40,10.29
268,Sur,OM,2020-10-15 18:22:53,22.57,59.53,77.31,51,4,7.02
269,Gamboma,CG,2020-10-15 18:22:53,-1.88,15.86,74.32,90,91,1.14
