City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Pandamatenga,BW,-18.53,25.63,70.77,45,0,9.57,clear sky
238,Esperance,AU,-33.87,121.9,55.4,100,90,6.93,overcast clouds
239,Orapa,BW,-21.28,25.37,69.91,49,10,12.5,clear sky
240,Marawi,PH,8.0,124.29,86.0,73,100,7.0,overcast clouds
241,Nome,US,64.5,-165.41,39.2,55,1,9.17,clear sky
242,Zelenoborsk,RU,61.47,64.03,22.33,92,63,7.27,broken clouds
243,Sesimbra,PT,38.44,-9.1,57.99,93,40,2.24,scattered clouds
244,Taoudenni,ML,22.68,-3.98,81.16,16,0,7.0,clear sky
245,Brumadinho,BR,-20.14,-44.2,64.4,93,75,12.75,broken clouds
246,Sayyan,YE,15.17,44.32,55.67,32,2,3.94,clear sky
247,Abu Samrah,SY,35.3,37.18,60.89,48,0,3.85,clear sky
248,Hirtshals,DK,57.59,9.96,50.0,80,19,5.99,few clouds
249,Kushalgarh,IN,23.2,74.45,84.09,34,0,0.36,clear sky
250,Baker City,US,44.77,-117.83,30.99,63,1,2.68,clear sky
251,San Matias,BO,-16.37,-58.4,78.6,70,99,1.61,overcast clouds
252,Serra Negra,BR,-22.61,-46.7,66.2,77,0,14.99,clear sky
253,Rodney,CA,42.57,-81.68,62.6,88,1,10.29,clear sky
254,Port Hedland,AU,-20.32,118.57,86.0,62,12,18.34,few clouds
255,Lasa,IT,46.62,10.7,51.01,100,75,8.05,broken clouds
256,Tombouctou,ML,20.0,-3.0,84.45,16,0,8.95,clear sky
257,Tahe,CN,52.33,124.73,32.67,84,0,8.75,clear sky
258,Kanniyakumari,IN,8.08,77.57,83.77,66,39,18.12,scattered clouds
259,Umm Lajj,SA,25.02,37.27,83.95,27,0,8.63,clear sky
260,Ixtapa,MX,20.7,-105.2,82.4,88,5,0.76,light rain
261,Batemans Bay,AU,-35.72,150.18,81.0,47,62,1.99,light rain
262,Gizo,SB,-8.1,156.84,84.96,66,98,4.54,overcast clouds
263,Navalmoral De La Mata,ES,39.89,-5.54,48.0,95,3,3.51,light rain
264,Champerico,GT,14.3,-91.92,68.0,97,99,3.56,overcast clouds
265,Teguldet,RU,57.31,88.17,36.54,80,25,9.15,scattered clouds
266,Envira,BR,-7.3,-70.22,70.74,99,100,0.47,overcast clouds
267,Nyurba,RU,63.28,118.33,35.62,85,100,12.57,overcast clouds
268,Sao Filipe,CV,14.9,-24.5,79.3,76,6,9.46,clear sky
269,Lumut,MY,4.23,100.63,89.6,70,40,4.7,scattered clouds
270,Bodden Town,KY,19.28,-81.25,81.0,88,40,9.17,scattered clouds
271,Adrar,MR,20.5,-10.07,80.67,26,28,9.98,scattered clouds
272,Humberto De Campos,BR,-2.6,-43.46,78.51,84,65,7.11,broken clouds
273,Sakaiminato,JP,35.55,133.23,66.2,52,75,13.87,broken clouds
274,Tessalit,ML,20.2,1.01,82.18,15,0,10.02,clear sky
275,Half Moon Bay,US,37.46,-122.43,59.0,87,90,5.82,overcast clouds
276,Diapaga,BF,12.07,1.79,76.8,25,0,1.28,clear sky
277,Tuatapere,NZ,-46.13,167.68,62.01,67,100,5.99,overcast clouds
278,Minot,US,48.23,-101.3,19.4,79,1,14.99,clear sky
279,Ancud,CL,-41.87,-73.82,43.0,86,48,2.24,scattered clouds
280,Nemuro,JP,43.32,145.57,59.0,93,75,14.99,shower rain
281,Saskylakh,RU,71.92,114.08,10.71,95,98,12.48,overcast clouds
282,Garowe,SO,8.41,48.48,79.48,68,97,7.4,overcast clouds
283,Tazovskiy,RU,67.47,78.7,15.08,96,100,7.02,light snow
284,Mehamn,NO,71.04,27.85,35.6,80,40,10.29,shower snow
285,Qandala,SO,11.47,49.87,83.14,57,26,5.23,scattered clouds
286,Jutai,BR,-5.18,-68.9,72.19,96,76,2.68,broken clouds
287,Mabaruma,GY,8.2,-59.78,78.87,82,58,6.13,broken clouds
288,Talcahuano,CL,-36.72,-73.12,50.0,87,0,10.29,clear sky
289,Killybegs,IE,54.63,-8.45,43.0,94,96,4.0,overcast clouds
290,Sabang,ID,5.89,95.32,82.94,77,87,13.24,overcast clouds
291,Riohacha,CO,11.54,-72.91,79.54,89,100,5.03,overcast clouds
292,Honiara,SB,-9.43,159.95,86.0,74,75,8.05,shower rain
293,Kysyl-Syr,RU,63.9,122.76,25.81,92,100,14.36,overcast clouds
294,Turtas,RU,58.94,69.13,22.91,97,100,10.54,light snow
295,Morgan City,US,29.7,-91.21,75.2,94,40,6.93,scattered clouds
296,Tocoa,HN,15.68,-86.0,75.87,87,100,1.16,overcast clouds
297,Council Bluffs,US,41.26,-95.86,37.4,86,90,17.22,overcast clouds
298,College,US,64.86,-147.8,24.01,85,1,4.41,clear sky
299,Qui Nhon,VN,13.77,109.23,80.53,67,90,11.72,overcast clouds
300,Elk City,US,35.41,-99.4,75.2,57,75,8.05,broken clouds
301,Taltal,CL,-25.4,-70.48,55.94,76,22,2.64,few clouds
302,Benalla,AU,-36.55,145.98,69.01,82,90,12.75,heavy intensity shower rain
303,Oktyabrskoye,RU,43.06,44.74,39.2,86,6,2.24,clear sky
304,Mulanje,MW,-16.03,35.5,68.5,47,0,2.55,clear sky
305,Khvorostyanka,RU,52.61,48.96,36.82,90,100,11.83,moderate rain
306,Fort Nelson,CA,58.81,-122.7,19.4,73,75,2.24,broken clouds
307,Kahului,US,20.89,-156.47,86.0,48,40,4.7,scattered clouds
308,Caravelas,BR,-17.71,-39.25,72.25,89,71,3.94,light rain
309,Wembley,AU,-31.93,115.8,77.0,36,0,6.93,clear sky
310,Pitimbu,BR,-7.47,-34.81,75.2,100,75,3.36,broken clouds
311,Telimele,GN,10.92,-13.33,70.02,91,10,1.34,clear sky
312,Saint-Leu,RE,-21.15,55.28,79.0,61,0,14.99,clear sky
313,Sawtell,AU,-30.38,153.1,77.0,65,13,21.92,few clouds
314,Niono,ML,14.25,-5.99,83.08,25,74,5.79,broken clouds
315,Ambon,ID,-3.7,128.18,89.6,66,40,5.82,scattered clouds
316,Moche,PE,-8.17,-79.01,63.18,85,54,6.42,broken clouds
317,Trinidad,BO,-14.83,-64.9,80.85,59,70,1.99,light rain
318,Gilgit,PK,35.92,74.31,62.85,28,2,3.24,clear sky
319,Nanortalik,GL,60.14,-45.24,28.85,84,36,9.8,scattered clouds
320,Vao,NC,-22.67,167.48,74.88,85,29,15.52,scattered clouds
321,Esmeraldas,BR,-19.76,-44.31,64.4,93,75,12.75,broken clouds
322,Colombo,LK,6.93,79.85,84.2,74,20,5.82,few clouds
323,Mamallapuram,IN,12.63,80.17,84.2,74,75,8.05,mist
324,Camacha,PT,33.08,-16.33,64.4,68,20,12.75,few clouds
325,Padang,ID,-0.95,100.35,86.59,58,100,3.91,overcast clouds
326,Talnakh,RU,69.49,88.4,1.4,84,40,4.47,light snow
327,Broome,US,42.25,-75.83,61.0,87,1,4.7,clear sky
328,Siocon,PH,7.71,122.14,85.37,73,98,6.2,moderate rain
329,Panguna,PG,-6.32,155.48,79.29,73,93,2.01,light rain
330,Mollendo,PE,-17.02,-72.01,62.42,81,86,7.56,overcast clouds
331,Riberalta,BO,-10.98,-66.1,76.57,79,78,1.61,light rain
332,Alamosa,US,37.47,-105.87,51.8,23,1,12.75,clear sky
333,Afogados Da Ingazeira,BR,-7.75,-37.64,68.76,90,11,8.93,few clouds
334,Maunabo,PR,18.01,-65.9,82.0,100,100,8.7,overcast clouds
335,Bandarbeyla,SO,9.49,50.81,80.15,64,95,4.56,overcast clouds
336,Hami,CN,42.8,93.45,63.55,25,85,4.88,overcast clouds
337,Ca Mau,VN,9.18,105.15,83.73,75,100,5.84,moderate rain
338,Bima,ID,-8.47,118.72,94.48,44,8,2.17,clear sky
339,Auki,SB,-8.77,160.7,84.11,71,28,1.54,light rain
340,Margate,GB,51.38,1.39,57.0,96,1,3.0,clear sky
341,Samarai,PG,-10.62,150.67,82.31,77,42,11.23,scattered clouds
342,Ginda,IN,30.69,78.49,73.4,46,0,3.04,clear sky
343,Isangel,VU,-19.55,169.27,77.0,88,90,11.03,moderate rain
344,Launceston,AU,-41.45,147.17,55.99,87,90,11.41,overcast clouds
345,Vestmannaeyjar,IS,63.44,-20.27,44.74,87,99,20.65,moderate rain
346,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,73.94,97,87,2.46,moderate rain
347,Mildura,AU,-34.2,142.15,75.2,44,75,5.82,light rain
348,Nosy Varika,MG,-20.58,48.53,73.54,79,23,3.0,few clouds
349,Falesti,MD,47.57,27.71,44.01,93,0,4.7,clear sky
350,Grand Gaube,MU,-20.01,57.66,77.0,63,32,5.01,light rain
351,Wahpeton,US,46.27,-96.61,32.0,98,90,9.17,overcast clouds
352,Darhan,MN,49.49,105.92,44.06,55,11,8.43,few clouds
353,Coihaique,CL,-45.58,-72.07,44.6,65,0,5.82,clear sky
354,Dunedin,NZ,-45.87,170.5,54.0,82,99,20.0,overcast clouds
355,Lavrentiya,RU,65.58,-171.0,35.91,88,4,12.17,clear sky
356,Yarada,IN,17.65,83.27,86.0,79,75,5.82,mist
357,Bengkulu,ID,-3.8,102.27,82.87,66,100,7.49,overcast clouds
358,Tautira,PF,-17.73,-149.15,78.8,78,75,9.26,shower rain
359,Vestmanna,FO,62.16,-7.17,44.6,87,100,32.21,light rain
360,Thio,NC,-21.62,166.22,89.6,46,62,10.29,broken clouds
